gesture_id,tap,app_name,origin_first_finger,pressure_first_finger,time_stamp_first,size_first_finger,x_coordinate_first_finger,y_coordinate_first_finger,distance,iskid
76,Tap,,False,42,1504800509763,4.0,326,944,0.0,1
33,Tap,,False,30,1504192489823,4.0,158,1535,0.0,1
37,Swipe,com.google.android.apps.photos,True,39,1507562393497,3.0,1192,1303,0.0,0
82,Tap,com.mehequanna.gestureplayground,False,43,1504800515915,4.0,154,1491,0.0,1
43,Swipe,com.google.android.apps.photos,True,56,1500219771288,7.0,624,1477,0.0,0
157,Tap,,False,27,1504795025475,3.0,223,1017,0.0,1
116,Swipe,com.google.android.apps.photos,True,44,1504720228235,5.0,1006,1908,0.0,0
326,Tap,com.google.android.youtube,False,30,1504192919310,2.0,208,2453,0.0,1
59,Tap,com.mehequanna.gestureplayground,False,70,1502053307366,8.0,435,1242,0.0,1
258,Tap,,True,22,1500676703510,1.0,1018,2044,0.0,1
164,Tap,com.mehequanna.gestureplayground,False,64,1504796469526,7.0,272,1209,0.0,1
77,Tap,,False,66,1504797851681,6.0,656,1497,0.0,1
261,Tap,com.google.android.youtube,True,45,1504195654802,4.0,1370,786,0.0,1
30,Tap,,False,57,1498777533495,6.0,616,107,0.0,0
109,Tap,com.google.android.apps.photos,True,44,1504808101164,4.0,710,729,0.0,0
17,Tap,,False,27,1504541849144,4.0,152,2174,0.0,1
116,Swipe,com.google.android.apps.photos,True,21,1504808120951,1.0,98,1570,0.0,0
131,Tap,com.google.android.apps.photos,True,28,1504537304027,2.0,1300,857,0.0,0
46,Tap,com.mehequanna.gestureplayground,False,28,1504204006478,2.0,416,1152,0.0,0
108,Tap,com.google.android.googlequicksearchbox,True,46,1498777674271,4.0,1221,1458,0.0,0
184,Tap,,False,25,1504795039494,2.0,127,1579,0.0,1
124,Swipe,com.google.android.apps.photos,True,61,1504537299403,6.0,511,1951,0.0,0
42,Tap,,False,51,1504193627311,4.0,214,2157,0.0,1
38,Tap,,False,31,1504794947062,2.0,162,2108,0.0,1
125,Swipe,com.google.android.apps.photos,True,33,1504806959154,2.0,445,1822,0.0,0
82,Tap,,False,67,1504794975612,6.0,570,189,0.0,1
23,Tap,,False,59,1504202811526,6.0,120,2143,0.0,0
32,Swipe,com.google.android.apps.photos,True,45,1499124493448,4.0,723,1666,0.0,1
127,Swipe,,True,57,1504720240359,4.0,544,1853,0.0,0
65,Unidentified,,False,38,1504199094643,3.0,682,1218,0.0,0
75,Tap,,False,77,1504797851074,8.0,656,1519,0.0,1
182,Swipe,com.google.android.apps.photos,True,32,1499125323141,2.0,1040,1640,0.0,1
199,Tap,,False,102,1502036097985,12.0,643,1449,0.0,0
277,Swipe,com.google.android.apps.photos,True,39,1504800933692,3.0,1093,1855,0.0,1
125,Tap,,False,34,1501451389594,3.0,678,1475,0.0,1
186,Swipe,com.google.android.apps.photos,True,28,1504192691034,2.0,1305,1874,0.0,1
197,Tap,com.google.android.apps.photos,True,29,1504542129200,1.0,193,607,0.0,1
294,Tap,,True,56,1504807411573,5.0,368,1170,0.0,0
137,Swipe,com.google.android.apps.photos,True,27,1504807005502,2.0,1167,1743,0.0,0
372,Unidentified,com.google.android.youtube,True,80,1504798775326,6.0,1138,1131,0.0,1
216,Swipe,,False,62,1500219095900,7.0,595,1258,0.0,1
272,Tap,,False,25,1501451667467,2.0,212,843,0.0,1
273,Tap,,False,51,1499365119496,4.0,168,230,0.0,0
270,Tap,com.google.android.youtube,True,64,1504805009899,7.0,755,765,0.0,0
